zip_code,cluster,cluster_label
10001,3,Stable
10002,3,Stable
10003,3,Stable
10004,3,Stable
10005,3,Stable
10006,3,Stable
10007,3,Stable
10009,3,Stable
10010,3,Stable
10011,3,Stable
10012,3,Stable
10013,3,Stable
10014,3,Stable
10016,3,Stable
10017,3,Stable
10018,3,Stable
10019,3,Stable
10021,3,Stable
10022,3,Stable
10023,3,Stable
10024,3,Stable
10025,3,Stable
10026,3,Stable
10027,3,Stable
10028,3,Stable
10029,3,Stable
10030,3,Stable
10031,3,Stable
10032,3,Stable
10033,3,Stable
10034,2,Declining
10035,3,Stable
10036,3,Stable
10037,3,Stable
10039,3,Stable
10040,2,Declining
10044,3,Stable
10065,3,Stable
10069,3,Stable
10075,3,Stable
10128,3,Stable
10280,3,Stable
10282,3,Stable
10301,0,Emerging
10302,0,Emerging
10303,0,Emerging
10304,0,Emerging
10305,0,Emerging
10306,0,Emerging
10307,0,Emerging
10308,0,Emerging
10309,0,Emerging
10310,0,Emerging
10312,0,Emerging
10314,0,Emerging
10452,1,Gentrifying
10453,0,Emerging
10454,0,Emerging
10455,0,Emerging
10456,0,Emerging
10457,0,Emerging
10458,2,Declining
10459,0,Emerging
10460,0,Emerging
10461,0,Emerging
10462,0,Emerging
10463,2,Declining
10464,0,Emerging
10465,0,Emerging
10466,0,Emerging
10467,2,Declining
10468,2,Declining
10469,0,Emerging
10470,0,Emerging
10471,0,Emerging
10472,0,Emerging
10473,0,Emerging
10501,0,Emerging
10502,3,Stable
10504,3,Stable
10506,0,Emerging
10507,3,Stable
10509,0,Emerging
10510,0,Emerging
10511,0,Emerging
10512,0,Emerging
10514,0,Emerging
10516,0,Emerging
10520,0,Emerging
10522,0,Emerging
10523,0,Emerging
10524,0,Emerging
10526,0,Emerging
10527,0,Emerging
10528,3,Stable
10530,1,Gentrifying
10532,0,Emerging
10533,0,Emerging
10536,0,Emerging
10537,0,Emerging
10538,0,Emerging
10541,0,Emerging
10543,0,Emerging
10546,0,Emerging
10547,0,Emerging
10548,1,Gentrifying
10549,0,Emerging
10550,0,Emerging
10552,1,Gentrifying
10553,0,Emerging
10560,0,Emerging
10562,0,Emerging
10566,1,Gentrifying
10567,0,Emerging
10570,0,Emerging
10573,0,Emerging
10576,0,Emerging
10577,3,Stable
10578,0,Emerging
10579,0,Emerging
10580,3,Stable
10583,0,Emerging
10588,0,Emerging
10589,0,Emerging
10590,0,Emerging
10591,0,Emerging
10594,0,Emerging
10595,0,Emerging
10596,0,Emerging
10597,3,Stable
10598,0,Emerging
10601,0,Emerging
10603,1,Gentrifying
10604,0,Emerging
10605,1,Gentrifying
10606,0,Emerging
10607,0,Emerging
10701,1,Gentrifying
10703,1,Gentrifying
10704,1,Gentrifying
10705,1,Gentrifying
10706,0,Emerging
10707,0,Emerging
10708,1,Gentrifying
10709,0,Emerging
10710,1,Gentrifying
10801,1,Gentrifying
10803,1,Gentrifying
10804,0,Emerging
10805,1,Gentrifying
10901,0,Emerging
10913,0,Emerging
10914,0,Emerging
10916,0,Emerging
10917,0,Emerging
10918,0,Emerging
10919,1,Gentrifying
10920,0,Emerging
10921,0,Emerging
10923,0,Emerging
10924,0,Emerging
10925,0,Emerging
10926,1,Gentrifying
10927,1,Gentrifying
10928,1,Gentrifying
10930,0,Emerging
10931,1,Gentrifying
10940,1,Gentrifying
10941,0,Emerging
10950,0,Emerging
10952,0,Emerging
10954,0,Emerging
